issue,draw_date,sales_amount,one,two,three
2003359,2003-12-31,0,4,0,1
2003358,2003-12-30,0,6,4,3
2003357,2003-12-29,0,6,7,1
2003356,2003-12-28,0,1,8,5
2003355,2003-12-27,0,3,2,7
2003354,2003-12-26,0,6,8,9
2003353,2003-12-25,0,2,9,5
2003352,2003-12-24,0,3,8,9
2003351,2003-12-23,0,0,5,0
2003350,2003-12-22,0,3,0,1
2003349,2003-12-21,0,9,0,3
2003348,2003-12-20,0,0,3,5
2003347,2003-12-19,0,6,4,5
2003346,2003-12-18,0,1,5,4
2003345,2003-12-17,0,1,0,0
2003344,2003-12-16,0,4,0,4
2003343,2003-12-15,0,5,4,6
2003342,2003-12-14,0,1,9,7
2003341,2003-12-13,0,0,9,4
2003340,2003-12-12,0,2,7,6
2003339,2003-12-11,0,3,5,8
2003338,2003-12-10,0,0,2,1
2003337,2003-12-09,0,7,4,4
2003336,2003-12-08,0,5,1,5
2003335,2003-12-07,0,4,4,3
2003334,2003-12-06,0,5,6,3
2003333,2003-12-05,0,1,9,6
2003332,2003-12-04,0,8,9,5
2003331,2003-12-03,0,6,7,9
2003330,2003-12-02,0,5,4,8
2003329,2003-12-01,0,4,5,3
2003328,2003-11-30,0,0,5,3
2003327,2003-11-29,0,9,9,2
2003326,2003-11-28,0,8,2,1
2003325,2003-11-27,0,1,0,8
2003324,2003-11-26,0,0,6,0
2003323,2003-11-25,0,7,7,8
2003322,2003-11-24,0,5,4,5
2003321,2003-11-23,0,2,8,8
2003320,2003-11-22,0,9,9,8
2003319,2003-11-21,0,3,5,4
2003318,2003-11-20,0,0,2,3
2003317,2003-11-19,0,2,0,1
2003316,2003-11-18,0,9,8,1
2003315,2003-11-17,0,7,4,3
2003314,2003-11-16,0,8,8,4
2003313,2003-11-15,0,9,3,2
2003312,2003-11-14,0,3,9,2
2003311,2003-11-13,0,6,1,5
2003310,2003-11-12,0,0,9,0
2003309,2003-11-11,0,0,0,0
2003308,2003-11-10,0,1,4,4
2003307,2003-11-09,0,1,3,2
2003306,2003-11-08,0,0,3,8
2003305,2003-11-07,0,3,1,1
2003304,2003-11-06,0,4,2,8
2003303,2003-11-05,0,8,3,7
2003302,2003-11-04,0,1,6,2
2003301,2003-11-03,0,3,2,3
2003300,2003-11-02,0,8,6,8
2003299,2003-11-01,0,8,8,1
2003298,2003-10-31,0,0,6,2
2003297,2003-10-30,0,0,9,0
2003296,2003-10-29,0,7,2,8
2003295,2003-10-28,0,2,4,5
2003294,2003-10-27,0,2,4,4
2003293,2003-10-26,0,2,1,8
2003292,2003-10-25,0,8,7,4
2003291,2003-10-24,0,7,3,5
2003290,2003-10-23,0,6,7,3
2003289,2003-10-22,0,6,6,8
2003288,2003-10-21,0,6,9,0
2003287,2003-10-20,0,2,8,3
2003286,2003-10-19,0,5,2,6
2003285,2003-10-18,0,5,7,7
2003284,2003-10-17,0,3,0,5
2003283,2003-10-16,0,4,8,2
2003282,2003-10-15,0,5,8,9
2003281,2003-10-14,0,1,3,1
2003280,2003-10-13,0,2,2,4
2003279,2003-10-12,0,6,1,1
2003278,2003-10-11,0,3,6,6
2003277,2003-10-10,0,6,5,0
2003276,2003-10-09,0,3,9,9
2003275,2003-10-08,0,7,0,0
2003274,2003-10-07,0,6,1,1
2003273,2003-10-06,0,4,3,2
2003272,2003-10-05,0,0,5,9
2003271,2003-10-04,0,4,0,1
2003270,2003-10-03,0,2,9,8
2003269,2003-10-02,0,8,9,7
2003268,2003-10-01,0,3,6,4
2003267,2003-09-30,0,1,9,5
2003266,2003-09-29,0,2,2,5
2003265,2003-09-28,0,1,7,5
2003264,2003-09-27,0,6,1,3
2003263,2003-09-26,0,9,4,3
2003262,2003-09-25,0,8,7,1
2003261,2003-09-24,0,6,5,7
2003260,2003-09-23,0,5,3,4
2003259,2003-09-22,0,1,5,0
2003258,2003-09-21,0,5,0,6
2003257,2003-09-20,0,2,6,9
2003256,2003-09-19,0,3,0,4
2003255,2003-09-18,0,1,3,1
2003254,2003-09-17,0,5,1,5
2003253,2003-09-16,0,5,5,5
2003252,2003-09-15,0,4,1,7
2003251,2003-09-14,0,0,0,2
2003250,2003-09-13,0,7,4,0
2003249,2003-09-12,0,9,7,5
2003248,2003-09-11,0,5,9,3
2003247,2003-09-10,0,5,7,5
2003246,2003-09-09,0,4,1,4
2003245,2003-09-08,0,4,1,5
2003244,2003-09-07,0,0,4,8
2003243,2003-09-06,0,6,3,3
2003242,2003-09-05,0,5,4,6
2003241,2003-09-04,0,8,7,8
2003240,2003-09-03,0,2,0,0
2003239,2003-09-02,0,3,9,6
2003238,2003-09-01,0,9,3,1
2003237,2003-08-31,0,3,9,1
2003236,2003-08-30,0,8,8,4
2003235,2003-08-29,0,5,9,8
2003234,2003-08-28,0,1,4,0
2003233,2003-08-27,0,3,8,1
2003232,2003-08-26,0,1,1,4
2003231,2003-08-25,0,1,0,3
2003230,2003-08-24,0,6,7,0
2003229,2003-08-23,0,3,6,0
2003228,2003-08-22,0,2,0,5
2003227,2003-08-21,0,3,5,9
2003226,2003-08-20,0,9,2,8
2003225,2003-08-19,0,0,5,8
2003224,2003-08-18,0,5,3,7
2003223,2003-08-17,0,5,9,5
2003222,2003-08-16,0,3,8,6
2003221,2003-08-15,0,1,5,5
2003220,2003-08-14,0,4,2,5
2003219,2003-08-13,0,1,5,9
2003218,2003-08-12,0,3,4,6
2003217,2003-08-11,0,1,9,5
2003216,2003-08-10,0,9,7,5
2003215,2003-08-09,0,6,6,4
2003214,2003-08-08,0,5,9,7
2003213,2003-08-07,0,0,4,1
2003212,2003-08-06,0,8,5,7
2003211,2003-08-05,0,6,4,5
2003210,2003-08-04,0,5,8,0
2003209,2003-08-03,0,4,7,9
2003208,2003-08-02,0,6,4,4
2003207,2003-08-01,0,6,6,1
2003206,2003-07-31,0,3,9,0
2003205,2003-07-30,0,4,7,9
2003204,2003-07-29,0,9,8,2
2003203,2003-07-28,0,3,0,6
2003202,2003-07-27,0,8,1,0
2003201,2003-07-26,0,7,9,4
