issue,draw_date,sales_amount,one,two,three
2025027,2025-02-06,0,3,8,3
2025026,2025-01-26,"144,082,894",5,8,8
2025025,2025-01-25,"138,271,464",4,8,6
2025024,2025-01-24,"137,606,936",7,6,2
2025023,2025-01-23,"130,805,322",5,9,1
2025022,2025-01-22,"130,150,770",6,3,8
2025021,2025-01-21,"128,760,978",4,6,8
2025020,2025-01-20,"130,478,370",0,5,6
2025019,2025-01-19,"131,626,900",7,1,0
2025018,2025-01-18,"126,827,786",8,3,6
2025017,2025-01-17,"129,717,920",0,2,7
2025016,2025-01-16,"130,737,112",1,0,4
2025015,2025-01-15,"125,997,960",9,4,2
2025014,2025-01-14,"125,072,604",6,7,9
2025013,2025-01-13,"128,749,584",6,0,6
2025012,2025-01-12,"123,431,258",4,8,7
2025011,2025-01-11,"115,053,974",5,1,8
2025010,2025-01-10,"127,921,102",3,3,3
2025009,2025-01-09,"122,437,942",4,1,6
2025008,2025-01-08,"122,295,290",2,6,0
2025007,2025-01-07,"122,480,048",1,4,1
2025006,2025-01-06,"130,352,312",8,9,8
2025005,2025-01-05,"127,824,192",0,8,5
2025004,2025-01-04,"127,119,438",6,3,4
2025003,2025-01-03,"132,053,224",2,1,4
2025002,2025-01-02,"125,620,144",9,1,6
2025001,2025-01-01,"121,010,930",7,0,3
