issue,draw_date,sales_amount,one,two,three
2004044,2004-12-31,0,3,8,2
2004043,2004-12-30,0,7,0,4
2004042,2004-12-29,0,7,8,0
2004041,2004-12-28,0,8,1,4
2004040,2004-12-27,0,5,6,6
2004039,2004-12-26,0,8,0,2
2004038,2004-12-25,0,4,2,5
2004037,2004-12-24,0,3,2,5
2004036,2004-12-23,0,0,0,9
2004035,2004-12-22,0,3,7,4
2004034,2004-12-21,0,9,9,5
2004033,2004-12-20,0,5,0,5
2004032,2004-12-19,0,3,7,8
2004031,2004-12-18,0,3,6,2
2004030,2004-12-17,0,1,2,0
2004029,2004-12-16,0,2,5,6
2004028,2004-12-15,0,0,7,5
2004027,2004-12-14,0,3,6,3
2004026,2004-12-13,0,6,2,1
2004025,2004-12-12,0,6,1,8
2004024,2004-12-11,0,8,8,6
2004023,2004-12-10,0,8,7,1
2004022,2004-12-09,0,5,9,1
2004021,2004-12-08,0,3,9,3
2004020,2004-12-07,0,1,0,9
2004019,2004-12-06,0,7,1,1
2004018,2004-12-05,0,1,2,9
2004017,2004-12-04,0,1,9,3
2004016,2004-12-03,0,4,4,5
2004015,2004-12-02,0,5,9,8
2004014,2004-12-01,0,3,5,9
2004013,2004-11-30,0,0,3,2
2004012,2004-11-29,0,3,0,5
2004011,2004-11-28,0,3,6,4
2004010,2004-11-27,0,2,7,4
2004009,2004-11-26,0,4,1,8
2004008,2004-11-25,0,2,2,6
2004007,2004-11-24,0,3,0,7
2004006,2004-11-23,0,2,6,2
2004005,2004-11-22,0,5,4,1
2004004,2004-11-21,0,4,3,2
2004003,2004-11-19,0,1,8,3
2004002,2004-11-16,0,1,7,3
2004001,2004-11-14,0,9,2,8
2005358,2005-12-31,0,3,9,7
2005357,2005-12-30,0,4,1,5
2005356,2005-12-29,0,4,3,9
2005355,2005-12-28,0,0,1,2
2005354,2005-12-27,0,0,1,4
2005353,2005-12-26,0,0,9,5
2005352,2005-12-25,0,5,6,2
2005351,2005-12-24,0,2,3,9
2005350,2005-12-23,0,2,3,7
2005349,2005-12-22,0,4,9,2
2005348,2005-12-21,0,3,2,3
2005347,2005-12-20,0,1,7,2
2005346,2005-12-19,0,2,9,2
2005345,2005-12-18,0,7,8,6
2005344,2005-12-17,0,9,4,9
2005343,2005-12-16,0,8,7,6
2005342,2005-12-15,0,3,8,5
2005341,2005-12-14,0,3,0,2
2005340,2005-12-13,0,6,7,8
2005339,2005-12-12,0,4,4,0
2005338,2005-12-11,0,2,3,6
2005337,2005-12-10,0,4,6,1
2005336,2005-12-09,0,6,9,3
2005335,2005-12-08,0,7,8,1
2005334,2005-12-07,0,6,7,2
2005333,2005-12-06,0,3,4,1
2005332,2005-12-05,0,1,8,7
2005331,2005-12-04,0,7,9,0
2005330,2005-12-03,0,1,4,9
2005329,2005-12-02,0,1,1,7
2005328,2005-12-01,0,4,6,3
2005327,2005-11-30,0,7,3,5
2005326,2005-11-29,0,5,0,8
2005325,2005-11-28,0,4,7,2
2005324,2005-11-27,0,5,7,8
2005323,2005-11-26,0,3,3,9
2005322,2005-11-25,0,2,7,4
2005321,2005-11-24,0,8,0,5
2005320,2005-11-23,0,0,8,4
2005319,2005-11-22,0,8,2,4
2005318,2005-11-21,0,0,6,9
2005317,2005-11-20,0,8,4,6
2005316,2005-11-19,0,7,4,1
2005315,2005-11-18,0,6,7,0
2005314,2005-11-17,0,8,6,0
2005313,2005-11-16,0,7,2,8
2005312,2005-11-15,0,7,5,6
2005311,2005-11-14,0,4,5,0
2005310,2005-11-13,0,0,1,5
2005309,2005-11-12,0,5,2,4
2005308,2005-11-11,0,1,2,9
2005307,2005-11-10,0,9,6,8
2005306,2005-11-09,0,3,9,0
2005305,2005-11-08,0,5,7,8
2005304,2005-11-07,0,8,6,3
2005303,2005-11-06,0,5,7,6
2005302,2005-11-05,0,7,4,7
2005301,2005-11-04,0,6,3,5
2005300,2005-11-03,0,9,6,6
2005299,2005-11-02,0,7,5,6
2005298,2005-11-01,0,6,0,8
2005297,2005-10-31,0,3,1,9
2005296,2005-10-30,0,7,1,6
2005295,2005-10-29,0,8,9,3
2005294,2005-10-28,0,8,2,0
2005293,2005-10-27,0,0,4,0
2005292,2005-10-26,0,4,3,6
2005291,2005-10-25,0,3,7,1
2005290,2005-10-24,0,8,0,3
2005289,2005-10-23,0,3,0,4
2005288,2005-10-22,0,4,8,7
2005287,2005-10-21,0,7,8,7
2005286,2005-10-20,0,8,5,3
2005285,2005-10-19,0,6,5,4
2005284,2005-10-18,0,3,8,0
2005283,2005-10-17,0,1,8,4
2005282,2005-10-16,0,5,4,9
2005281,2005-10-15,0,5,7,6
2005280,2005-10-14,0,8,9,9
2005279,2005-10-13,0,2,5,4
2005278,2005-10-12,0,6,9,2
2005277,2005-10-11,0,0,7,5
2005276,2005-10-10,0,8,6,2
2005275,2005-10-09,0,4,7,0
2005274,2005-10-08,0,5,2,6
2005273,2005-10-07,0,7,2,6
2005272,2005-10-06,0,9,8,1
2005271,2005-10-05,0,5,6,6
2005270,2005-10-04,0,9,0,9
2005269,2005-10-03,0,3,2,7
2005268,2005-10-02,0,8,5,5
2005267,2005-10-01,0,5,8,4
2005266,2005-09-30,0,1,0,7
2005265,2005-09-29,0,6,9,6
2005264,2005-09-28,0,8,0,7
2005263,2005-09-27,0,8,4,6
2005262,2005-09-26,0,2,4,0
2005261,2005-09-25,0,6,1,4
2005260,2005-09-24,0,4,8,9
2005259,2005-09-23,0,9,7,1
2005258,2005-09-22,0,9,7,6
2005257,2005-09-21,0,0,2,6
2005256,2005-09-20,0,5,3,9
2005255,2005-09-19,0,9,5,9
2005254,2005-09-18,0,3,0,2
2005253,2005-09-17,0,4,4,2
2005252,2005-09-16,0,0,8,5
2005251,2005-09-15,0,8,1,8
2005250,2005-09-14,0,0,3,7
2005249,2005-09-13,0,5,2,1
2005248,2005-09-12,0,4,8,1
2005247,2005-09-11,0,3,1,0
2005246,2005-09-10,0,5,9,7
2005245,2005-09-09,0,8,2,7
2005244,2005-09-08,0,8,9,4
2005243,2005-09-07,0,9,4,9
2005242,2005-09-06,0,2,8,9
2005241,2005-09-05,0,8,3,2
2005240,2005-09-04,0,5,1,7
2005239,2005-09-03,0,3,4,6
2005238,2005-09-02,0,4,6,3
2005237,2005-09-01,0,6,0,0
2005236,2005-08-31,0,5,3,7
2005235,2005-08-30,0,8,5,6
2005234,2005-08-29,0,1,2,2
2005233,2005-08-28,0,9,3,4
2005232,2005-08-27,0,7,4,9
2005231,2005-08-26,0,0,7,7
2005230,2005-08-25,0,7,8,4
2005229,2005-08-24,0,8,1,3
2005228,2005-08-23,0,7,2,5
2005227,2005-08-22,0,2,6,4
2005226,2005-08-21,0,2,9,3
2005225,2005-08-20,0,3,0,9
2005224,2005-08-19,0,5,6,7
2005223,2005-08-18,0,5,3,9
2005222,2005-08-17,0,8,9,5
2005221,2005-08-16,0,8,7,0
2005220,2005-08-15,0,8,0,2
2005219,2005-08-14,0,2,1,6
2005218,2005-08-13,0,7,2,4
2005217,2005-08-12,0,5,5,5
2005216,2005-08-11,0,8,5,6
2005215,2005-08-10,0,2,3,6
2005214,2005-08-09,0,1,6,9
2005213,2005-08-08,0,9,6,2
2005212,2005-08-07,0,7,8,0
2005211,2005-08-06,0,5,3,4
2005210,2005-08-05,0,5,4,3
2005209,2005-08-04,0,3,1,6
2005208,2005-08-03,0,5,4,0
2005207,2005-08-02,0,8,6,7
2005206,2005-08-01,0,9,5,8
2005205,2005-07-31,0,8,7,5
2005204,2005-07-30,0,5,0,6
2005203,2005-07-29,0,8,1,9
2005202,2005-07-28,0,3,3,0
2005201,2005-07-27,0,0,4,5
2005200,2005-07-26,0,9,9,8
2005199,2005-07-25,0,7,9,4
2005198,2005-07-24,0,7,4,9
2005197,2005-07-23,0,7,8,8
2005196,2005-07-22,0,0,0,5
2005195,2005-07-21,0,5,2,6
2005194,2005-07-20,0,4,9,4
2005193,2005-07-19,0,9,9,9
2005192,2005-07-18,0,6,2,4
2005191,2005-07-17,0,5,0,6
2005190,2005-07-16,0,4,2,6
2005189,2005-07-15,0,4,0,3
2005188,2005-07-14,0,6,2,9
2005187,2005-07-13,0,9,1,3
2005186,2005-07-12,0,2,0,2
2005185,2005-07-11,0,4,3,9
2005184,2005-07-10,0,8,8,4
2005183,2005-07-09,0,1,7,3
2005182,2005-07-08,0,4,6,9
2005181,2005-07-07,0,4,0,2
2005180,2005-07-06,0,3,9,5
2005179,2005-07-05,0,0,4,3
2005178,2005-07-04,0,0,0,4
2005177,2005-07-03,0,7,0,5
2005176,2005-07-02,0,9,3,7
2005175,2005-07-01,0,9,3,3
2005174,2005-06-30,0,8,7,6
2005173,2005-06-29,0,2,0,7
2005172,2005-06-28,0,9,9,7
2005171,2005-06-27,0,1,6,5
2005170,2005-06-26,0,1,9,5
2005169,2005-06-25,0,2,6,3
2005168,2005-06-24,0,9,0,7
2005167,2005-06-23,0,7,1,1
2005166,2005-06-22,0,7,3,6
2005165,2005-06-21,0,3,9,8
2005164,2005-06-20,0,0,0,1
2005163,2005-06-19,0,6,4,5
2005162,2005-06-18,0,9,6,7
2005161,2005-06-17,0,2,2,1
2005160,2005-06-16,0,7,2,6
2005159,2005-06-15,0,1,0,7
2005158,2005-06-14,0,8,7,6
2005157,2005-06-13,0,5,9,8
2005156,2005-06-12,0,1,1,9
2005155,2005-06-11,0,0,2,4
2005154,2005-06-10,0,7,7,6
2005153,2005-06-09,0,8,6,6
2005152,2005-06-08,0,9,2,7
2005151,2005-06-07,0,9,9,0
2005150,2005-06-06,0,5,2,4
2005149,2005-06-05,0,8,9,9
2005148,2005-06-04,0,9,7,9
2005147,2005-06-03,0,1,2,1
2005146,2005-06-02,0,1,0,9
2005145,2005-06-01,0,0,5,7
2005144,2005-05-31,0,5,7,4
2005143,2005-05-30,0,2,0,7
2005142,2005-05-29,0,3,0,6
2005141,2005-05-28,0,1,6,8
2005140,2005-05-27,0,8,9,4
2005139,2005-05-26,0,4,6,2
2005138,2005-05-25,0,0,1,4
2005137,2005-05-24,0,2,5,3
2005136,2005-05-23,0,9,2,8
2005135,2005-05-22,0,7,4,5
2005134,2005-05-21,0,7,0,4
2005133,2005-05-20,0,7,5,9
2005132,2005-05-19,0,8,3,6
2005131,2005-05-18,0,6,6,3
2005130,2005-05-17,0,5,4,6
2005129,2005-05-16,0,7,0,7
2005128,2005-05-15,0,1,6,2
2005127,2005-05-14,0,4,4,5
2005126,2005-05-13,0,5,3,4
2005125,2005-05-12,0,5,0,8
2005124,2005-05-11,0,2,1,9
2005123,2005-05-10,0,9,7,4
2005122,2005-05-09,0,5,4,2
2005121,2005-05-08,0,7,2,9
2005120,2005-05-07,0,1,6,2
2005119,2005-05-06,0,1,1,1
2005118,2005-05-05,0,5,9,3
2005117,2005-05-04,0,9,9,2
2005116,2005-05-03,0,5,6,9
2005115,2005-05-02,0,6,2,6
2005114,2005-05-01,0,8,9,2
2005113,2005-04-30,0,0,0,5
2005112,2005-04-29,0,2,9,8
2005111,2005-04-28,0,0,6,1
2005110,2005-04-27,0,4,1,7
2005109,2005-04-26,0,6,1,0
2005108,2005-04-25,0,3,8,4
2005107,2005-04-24,0,8,3,8
2005106,2005-04-23,0,5,4,0
2005105,2005-04-22,0,3,6,3
